trackid,uid,rating
SOZCTXZ12AB0182364,3503,9
SOBBUGU12A8C13E95D,1013,7
SOBBUGU12A8C13E95D,1313,10
SOBBUGU12A8C13E95D,3681,9
SOBLGCN12AB0183212,2619,9
SOBLGCN12AB0183212,4697,7
SOBLGCN12AB0183212,7902,8
SOPSWQW12A6D4F8781,1450,10
SOPSWQW12A6D4F8781,1807,6
SOPSWQW12A6D4F8781,3354,7
SOZQDIU12A58A7BCF6,105,8
SOZQDIU12A58A7BCF6,1124,7
SOZQDIU12A58A7BCF6,1864,9
SONYPOM12A8C13B2D7,2100,6
SONYPOM12A8C13B2D7,2116,8
SONYPOM12A8C13B2D7,4560,6
SOBZBAZ12A6D4F8742,2470,6
SOBZBAZ12A6D4F8742,3120,9
SOBZBAZ12A6D4F8742,6386,8
SOVYKGO12AB0187199,3137,10
SOVYKGO12AB0187199,3714,10
SOVYKGO12AB0187199,5078,6
SOGNCJP12A58A80271,2915,7
SOGNCJP12A58A80271,4052,6
SOGNCJP12A58A80271,5682,9
SOLLHMX12AB01846DC,3200,7
SOLLHMX12AB01846DC,6154,9
SOLLHMX12AB01846DC,7912,9
SOYTPEP12AB0180E7B,270,6
SOYTPEP12AB0180E7B,927,10
SOYTPEP12AB0180E7B,1576,7
SOGXHEG12AB018653E,1439,8
SOGXHEG12AB018653E,2960,10
SOGXHEG12AB018653E,4929,10
SOOLYAZ12A6701F4A6,1358,7
SOOLYAZ12A6701F4A6,3657,6
SOOLYAZ12A6701F4A6,4896,7
SOGOSOV12AF72A285E,801,8
SOGOSOV12AF72A285E,3441,6
SOGOSOV12AF72A285E,4849,7
SOJXVAH12A8C139700,388,6
SOJXVAH12A8C139700,2373,10
SOJXVAH12A8C139700,3466,6
SOVXMTN12A8C135A18,2579,7
SOVXMTN12A8C135A18,4430,10
SOVXMTN12A8C135A18,7118,10
SORSECL12AB0182267,1713,7
SORSECL12AB0182267,2555,6
SORSECL12AB0182267,3336,6
SOOGFBZ12AC3DF7FF2,1792,6
SOOGFBZ12AC3DF7FF2,4575,6
SOOGFBZ12AC3DF7FF2,7088,8
SOMSBGZ12AB018C4CB,248,10
SOMSBGZ12AB018C4CB,2249,9
SOMSBGZ12AB018C4CB,4887,7
SONYRZV12AB018AF70,3173,6
SONYRZV12AB018AF70,4003,10
SONYRZV12AB018AF70,4385,10
SONQBUB12A6D4F8ED0,2208,8
SONQBUB12A6D4F8ED0,4868,8
SONQBUB12A6D4F8ED0,5292,6
SOHGKJW12AC468A8BD,2479,10
SOHGKJW12AC468A8BD,5023,10
SOHGKJW12AC468A8BD,6255,6
SOINBCU12A6D4F94C0,976,10
SOINBCU12A6D4F94C0,2410,10
SOINBCU12A6D4F94C0,5394,7
SOTWVQT12A58A79650,2649,9
SOTWVQT12A58A79650,4065,9
SOTWVQT12A58A79650,4840,9
SOTSEJY12AB0180F56,545,9
SOTSEJY12AB0180F56,2480,10
SOTSEJY12AB0180F56,3698,8
SOTSETT12AB01863B8,764,8
SOTSETT12AB01863B8,2468,10
SOTSETT12AB01863B8,4700,6
SOTUNMH12A6D4FA3E6,845,10
SOTUNMH12A6D4FA3E6,1993,6
SOTUNMH12A6D4FA3E6,4766,8
SOEPPKB12AB018418B,910,6
SOEPPKB12AB018418B,2252,8
SOEPPKB12AB018418B,4530,8
SOGKIWV12A6D4F86C4,2665,9
SOGKIWV12A6D4F86C4,4829,7
SOGKIWV12A6D4F86C4,6104,6
SOPHYIS12AAF3B35A3,124,7
SOPHYIS12AAF3B35A3,1720,10
SOPHYIS12AAF3B35A3,2873,6
SOFHBAR12A6701D0FE,2457,6
SOFHBAR12A6701D0FE,2828,10
SOFHBAR12A6701D0FE,3262,10
SOCPRKM12AB018A2FD,3291,6
SOCPRKM12AB018A2FD,6099,8
SOCPRKM12AB018A2FD,7244,7
SOFGHAM12AB0186412,792,10
SOFGHAM12AB0186412,1664,6
SOFGHAM12AB0186412,1972,10
SODHVES12A6701CE6B,2354,8
SODHVES12A6701CE6B,3704,7
SODHVES12A6701CE6B,5402,10
SOXIATP12AAF3B2184,2853,6
SOXIATP12AAF3B2184,4670,9
SOXIATP12AAF3B2184,7218,8
SOGNQWU12A8AE4868F,1031,8
SOGNQWU12A8AE4868F,1483,7
SOGNQWU12A8AE4868F,4687,7
SOYQOFI12A6D4F76E1,340,9
SOYQOFI12A6D4F76E1,3469,8
SOYQOFI12A6D4F76E1,4221,10
SOVOLGY12A6D4F822B,313,9
SOVOLGY12A6D4F822B,3629,10
SOVOLGY12A6D4F822B,3648,8
SOMZCVH12AB0182B8E,798,10
SOMZCVH12AB0182B8E,2228,10
SOMZCVH12AB0182B8E,4461,8
SONXJBL12AAF3B2C0C,2973,7
SONXJBL12AAF3B2C0C,6118,10
SONXJBL12AAF3B2C0C,8601,10
SOYWZTU12AB0180E26,952,10
SOYWZTU12AB0180E26,4189,9
SOYWZTU12AB0180E26,5733,9
SOLGHDZ12AB0183B11,1369,7
SOLGHDZ12AB0183B11,2692,8
SOLGHDZ12AB0183B11,4126,8
SOTNTNJ12AAA15FBD6,904,8
SOTNTNJ12AAA15FBD6,2344,9
SOTNTNJ12AAA15FBD6,4004,6
SOXZXXV12AAF3B3A67,737,7
SOXZXXV12AAF3B3A67,1546,10
SOXZXXV12AAF3B3A67,3954,9
SOPIKEG12A58291636,1379,7
SOPIKEG12A58291636,1537,6
SOPIKEG12A58291636,2268,8
SOIRNBO12AC468D207,2985,10
SOIRNBO12AC468D207,4337,7
SOIRNBO12AC468D207,5686,7
SOSBDSF12AB0189007,351,6
SOSBDSF12AB0189007,415,7
SOSBDSF12AB0189007,1002,9
SOIJXXM12A8C1416D6,1364,8
SOIJXXM12A8C1416D6,2455,6
SOIJXXM12A8C1416D6,2678,6
SOHMMMC12AB0181C42,354,6
SOHMMMC12AB0181C42,1940,7
SOHMMMC12AB0181C42,4923,8
SOVJXVJ12A8C13517D,1149,8
SOVJXVJ12A8C13517D,2964,6
SOVJXVJ12A8C13517D,5568,7
SOFZCTA12AB0188D8F,667,9
SOFZCTA12AB0188D8F,2986,8
SOFZCTA12AB0188D8F,5665,9
SOLRYQR12A670215BF,1925,10
SOLRYQR12A670215BF,4511,8
SOLRYQR12A670215BF,4700,6
SOCHRXB12A8AE48069,1050,7
SOCHRXB12A8AE48069,1741,7
SOCHRXB12A8AE48069,2234,6
SOKBBXO12A6701DEA0,2140,10
SOKBBXO12A6701DEA0,3918,6
SOKBBXO12A6701DEA0,4338,9
SOWHYUG12A58A77FAB,1577,6
SOWHYUG12A58A77FAB,1611,10
SOWHYUG12A58A77FAB,3838,8
SOYSTDI12A6D4F6500,1894,8
SOYSTDI12A6D4F6500,3905,7
SOYSTDI12A6D4F6500,4472,8
SOOOROX12A6D4F8400,2846,6
SOOOROX12A6D4F8400,4623,8
SOOOROX12A6D4F8400,4784,8
SONSPZE12AB01819CE,771,10
SONSPZE12AB01819CE,3509,9
SONSPZE12AB01819CE,3587,8
SOHWGFU12AB017B036,1518,6
SOHWGFU12AB017B036,3195,7
SOHWGFU12AB017B036,3826,6
SOQQVQJ12AB0185192,2700,8
SOQQVQJ12AB0185192,4933,8
SOQQVQJ12AB0185192,6515,7
SODRHHD12AB0189F2A,2514,9
SODRHHD12AB0189F2A,5527,7
SODRHHD12AB0189F2A,7942,6
SOQGFVO12A8C13C8C3,366,6
SOQGFVO12A8C13C8C3,626,10
SOQGFVO12A8C13C8C3,1385,8
SORABMD12A8C136672,1746,8
SORABMD12A8C136672,2957,10
SORABMD12A8C136672,4557,7
SOTUBVH12AB018D2EC,1573,8
SOTUBVH12AB018D2EC,3976,8
SOTUBVH12AB018D2EC,7250,9
SOMQAGT12A8C132DB4,1676,9
SOMQAGT12A8C132DB4,4703,7
SOMQAGT12A8C132DB4,6884,7
SOKLLOH12A67020F2C,3273,10
SOKLLOH12A67020F2C,4519,7
SOKLLOH12A67020F2C,7201,7
SONRLQH12AB017C232,208,7
SONRLQH12AB017C232,587,7
SONRLQH12AB017C232,1961,7
SODDZAD12A6701DC4C,945,8
SODDZAD12A6701DC4C,3275,9
SODDZAD12A6701DC4C,3415,10
SORENXV12A6701F61F,560,10
SORENXV12A6701F61F,1503,10
SORENXV12A6701F61F,1862,6
SOYMMDY12AB01825B2,777,7
SOYMMDY12AB01825B2,3295,6
SOYMMDY12AB01825B2,3612,10
SOJWQIP12A6D4F710A,1079,7
SOJWQIP12A6D4F710A,2651,7
SOJWQIP12A6D4F710A,2710,7
SOOVOKS12AB017EE57,1614,10
SOOVOKS12AB017EE57,4744,6
SOOVOKS12AB017EE57,5940,7
SORWHWY12A6702038E,2751,9
SORWHWY12A6702038E,4894,9
SORWHWY12A6702038E,8000,7
SOGYYLE12A8C13E5EA,430,10
SOGYYLE12A8C13E5EA,3180,6
SOGYYLE12A8C13E5EA,3591,10
SOITUXQ12AB0183AE9,2870,8
SOITUXQ12AB0183AE9,5189,7
SOITUXQ12AB0183AE9,8006,8
SOTWEZZ12A8C142B60,2081,10
SOTWEZZ12A8C142B60,2504,8
SOTWEZZ12A8C142B60,4276,6
SOUVRGZ12A58A77F90,262,9
SOUVRGZ12A58A77F90,3375,8
SOUVRGZ12A58A77F90,4997,6
SOBLTSM12A6D4F9EEA,2155,6
SOBLTSM12A6D4F9EEA,3199,10
SOBLTSM12A6D4F9EEA,4398,6
SOUQVUD12A8C142DCE,2892,9
SOUQVUD12A8C142DCE,5104,6
SOUQVUD12A8C142DCE,8338,6
SOCRPDR12AB0185B75,1726,8
SOCRPDR12AB0185B75,2351,7
SOCRPDR12AB0185B75,4754,8
SOXVBVL12AF72A600C,2498,9
SOXVBVL12AF72A600C,2642,9
SOXVBVL12AF72A600C,5838,8
SOIQHDR12AB01896C8,3214,6
SOIQHDR12AB01896C8,6301,6
SOIQHDR12AB01896C8,9629,8
SODLSHA12AAF3B29F2,2401,7
SODLSHA12AAF3B29F2,5213,9
SODLSHA12AAF3B29F2,7050,9
SOAGHMH12AB0180285,2074,8
SOAGHMH12AB0180285,4147,7
SOAGHMH12AB0180285,5074,7
SORAVUP12AB018556E,85,7
SORAVUP12AB018556E,572,8
SORAVUP12AB018556E,2393,8
SOFXNQP12AB0184F1A,2724,10
SOFXNQP12AB0184F1A,3962,9
SOFXNQP12AB0184F1A,6984,8
SOGQTRZ12A8C13C8B0,2725,6
SOGQTRZ12A8C13C8B0,5310,7
SOGQTRZ12A8C13C8B0,5592,8
SOBHVZQ12AC9618285,689,7
SOBHVZQ12AC9618285,3704,7
SOBHVZQ12AC9618285,5790,10
SOYPBCY12AB0181EF3,506,6
SOYPBCY12AB0181EF3,611,9
SOYPBCY12AB0181EF3,1202,9
SOWRLSY12AC4687694,2796,10
SOWRLSY12AC4687694,5823,7
SOWRLSY12AC4687694,6791,7
SOOGQWR12A8C142505,749,6
SOOGQWR12A8C142505,3663,10
SOOGQWR12A8C142505,5720,10
SOJDYQY12AB0188C97,716,7
SOJDYQY12AB0188C97,782,10
SOJDYQY12AB0188C97,2267,10
SOBHQUF12AB018B03E,864,6
SOBHQUF12AB018B03E,3658,7
SOBHQUF12AB018B03E,6199,9
SOFRAZJ12A8C143CDB,2982,10
SOFRAZJ12A8C143CDB,5951,9
SOFRAZJ12A8C143CDB,6860,8
SONNDHT12A8C13F20B,900,9
SONNDHT12A8C13F20B,1838,9
SONNDHT12A8C13F20B,3706,7
SOYZOXW12A8C13E195,1255,9
SOYZOXW12A8C13E195,1536,6
SOYZOXW12A8C13E195,3216,7
SOSGJTX12AB0181F7C,2429,10
SOSGJTX12AB0181F7C,2925,10
SOSGJTX12AB0181F7C,5229,9
SOBQBWP12AB018611B,858,7
SOBQBWP12AB018611B,1401,7
SOBQBWP12AB018611B,2813,6
SODULLV12AB017FA09,2287,6
SODULLV12AB017FA09,5259,10
SODULLV12AB017FA09,5563,8
SOYAGJM12A8C13DCCE,1394,9
SOYAGJM12A8C13DCCE,3325,10
SOYAGJM12A8C13DCCE,3719,7
SORXUZZ12A8AE4798A,2578,10
SORXUZZ12A8AE4798A,2761,6
SORXUZZ12A8AE4798A,3832,10
SOCHXAE12AF72A25D6,2331,8
SOCHXAE12AF72A25D6,2755,10
SOCHXAE12AF72A25D6,4512,7
SOCRHCQ12A58A7C8C6,3293,6
SOCRHCQ12A58A7C8C6,4450,7
SOCRHCQ12A58A7C8C6,7707,10
SOSEJIQ12AB017E7EB,165,8
SOSEJIQ12AB017E7EB,202,7
SOSEJIQ12AB017E7EB,3484,9
SOMXWXQ12AC3DFA002,3029,9
SOMXWXQ12AC3DFA002,3452,6
SOMXWXQ12AC3DFA002,6282,9
SOGMXBW12A6D4FB8D7,3329,10
SOGMXBW12A6D4FB8D7,6524,10
SOGMXBW12A6D4FB8D7,8953,10
SOOPUTF12AB018DFAA,2585,6
SOOPUTF12AB018DFAA,5914,6
SOOPUTF12AB018DFAA,8797,6
SOFDTRZ12AB018DD11,2393,8
SOFDTRZ12AB018DD11,5023,10
SOFDTRZ12AB018DD11,6796,7
SOOGNJP12A8C1381AD,2590,9
SOOGNJP12A8C1381AD,2920,8
SOOGNJP12A8C1381AD,3334,7
SOFUBCP12A8C13D5EF,2146,6
SOFUBCP12A8C13D5EF,2755,6
SOFUBCP12A8C13D5EF,3029,7
SOVZBDR12A6702012E,2735,10
SOVZBDR12A6702012E,5803,7
SOVZBDR12A6702012E,5811,9
SOPWKSS12AC468E659,2185,6
SOPWKSS12AC468E659,3625,9
SOPWKSS12AC468E659,4593,7
SOCCQIQ12A8C13C76B,1492,6
SOCCQIQ12A8C13C76B,2269,8
SOCCQIQ12A8C13C76B,4344,9
SODBMZD12A8C134232,2036,6
SODBMZD12A8C134232,3583,10
SODBMZD12A8C134232,4483,9
SOBUWPY12A8C1446C0,3112,6
SOBUWPY12A8C1446C0,4359,7
SOBUWPY12A8C1446C0,5159,6
SORWXUP12A58A79E65,1728,10
SORWXUP12A58A79E65,4919,8
SORWXUP12A58A79E65,7580,8
SOJEVZW12A8C133988,2678,10
SOJEVZW12A8C133988,4163,7
SOJEVZW12A8C133988,4721,8
SOOODKC12AB018462F,2246,8
SOOODKC12AB018462F,5503,7
SOOODKC12AB018462F,7703,7
SODOLVO12B0B80B2F4,1474,9
SODOLVO12B0B80B2F4,2307,7
SODOLVO12B0B80B2F4,4733,6
SOEHWGF12A6D4F8B2B,127,10
SOEHWGF12A6D4F8B2B,3295,6
SOEHWGF12A6D4F8B2B,5155,8
SOOZLTC12A6D4FBE91,774,9
SOOZLTC12A6D4FBE91,2063,8
SOOZLTC12A6D4FBE91,2889,9
SOOSYMY12AB01888CD,2597,7
SOOSYMY12AB01888CD,2819,9
SOOSYMY12AB01888CD,3671,9
SOPBKEB12A6D4FD777,2726,7
SOPBKEB12A6D4FD777,5963,7
SOPBKEB12A6D4FD777,7835,8
SOEWQYW12AB0183FDE,2816,7
SOEWQYW12AB0183FDE,4818,6
SOEWQYW12AB0183FDE,6773,10
SOFBQIA12AB0182219,1537,10
SOFBQIA12AB0182219,4378,7
SOFBQIA12AB0182219,7542,9
SOHDDHR12AB0183552,980,6
SOHDDHR12AB0183552,2365,10
SOHDDHR12AB0183552,2420,6
SONWQQX12AC3DF6762,2116,7
SONWQQX12AC3DF6762,2843,7
SONWQQX12AC3DF6762,5072,7
SOGXFIF12A58A78CC4,3160,7
SOGXFIF12A58A78CC4,5937,7
SOGXFIF12A58A78CC4,8145,6
SOIPNSZ12A8C144128,3239,10
SOIPNSZ12A8C144128,6238,6
SOIPNSZ12A8C144128,8646,7
SOEXSIN12A8C133B0A,3250,7
SOEXSIN12A8C133B0A,3262,9
SOEXSIN12A8C133B0A,6343,10
SOTSMNJ12AB018365E,2160,10
SOTSMNJ12AB018365E,2663,10
SOTSMNJ12AB018365E,4001,9
SOLGRUN12A8C140543,1626,10
SOLGRUN12A8C140543,2173,7
SOLGRUN12A8C140543,2818,7
SOQCHGV12AC4688FC6,161,10
SOQCHGV12AC4688FC6,1794,7
SOQCHGV12AC4688FC6,4876,6
SOXCWTT12AC9075756,750,7
SOXCWTT12AC9075756,3329,10
SOXCWTT12AC9075756,4198,8
SOAFIPD12A8C13A261,2404,6
SOAFIPD12A8C13A261,5150,7
SOAFIPD12A8C13A261,6680,8
SOMJPML12A8C13D74E,2567,6
SOMJPML12A8C13D74E,5782,6
SOMJPML12A8C13D74E,7945,7
SOCVDYI12AC4687DDB,462,9
SOCVDYI12AC4687DDB,2977,8
SOCVDYI12AC4687DDB,5563,6
SOEVGMZ12A8C1421B5,2954,10
SOEVGMZ12A8C1421B5,4756,8
SOEVGMZ12A8C1421B5,5814,8
SOCGURJ12AB0182AEE,1002,9
SOCGURJ12AB0182AEE,1652,7
SOCGURJ12AB0182AEE,4882,10
SOHTWLT12A8C13CFE1,3276,8
SOHTWLT12A8C13CFE1,4937,6
SOHTWLT12A8C13CFE1,5859,6
SOVQZYP12A8C144692,2248,8
SOVQZYP12A8C144692,4034,8
SOVQZYP12A8C144692,6957,10
SOHHANU12A58A77C66,2913,8
SOHHANU12A58A77C66,4554,8
SOHHANU12A58A77C66,7852,6
SOTHWPG12AB018C90E,374,10
SOTHWPG12AB018C90E,1192,9
SOTHWPG12AB018C90E,2467,9
SOOQHNV12AB0186CD4,1964,10
SOOQHNV12AB0186CD4,4248,9
SOOQHNV12AB0186CD4,6443,6
SOSGXRU12AAF3B2B07,2241,6
SOSGXRU12AAF3B2B07,2424,8
SOSGXRU12AAF3B2B07,4169,10
SOFRUDU12A8C13A40C,3001,6
SOFRUDU12A8C13A40C,5626,9
SOFRUDU12A8C13A40C,6637,7
SONXLQQ12AB0184B54,3289,10
SONXLQQ12AB0184B54,3717,8
SONXLQQ12AB0184B54,5735,9
SOKPHVH12AB0187460,1368,9
SOKPHVH12AB0187460,2180,10
SOKPHVH12AB0187460,4959,9
SOIUGDX12A6D4FDECA,2843,6
SOIUGDX12A6D4FDECA,5539,8
SOIUGDX12A6D4FDECA,7434,8
SOAYYDM12AB01817E6,2868,9
SOAYYDM12AB01817E6,6077,6
SOAYYDM12AB01817E6,6587,6
SORAJXA12A58A7A4C9,1404,8
SORAJXA12A58A7A4C9,2683,8
SORAJXA12A58A7A4C9,3637,9
SODJUNF12A8C13337F,3296,8
SODJUNF12A8C13337F,6060,9
SODJUNF12A8C13337F,6420,6
SOVDDWO12A6D4F9A78,149,7
SOVDDWO12A6D4F9A78,999,8
SOVDDWO12A6D4F9A78,3072,6
SOFGQAP12AB0185946,1816,10
SOFGQAP12AB0185946,4052,7
SOFGQAP12AB0185946,5173,6
SORGLCR12AB0184B69,793,10
SORGLCR12AB0184B69,2308,9
SORGLCR12AB0184B69,3043,10
SOLBIIE12AB0184DFC,2424,10
SOLBIIE12AB0184DFC,3183,7
SOLBIIE12AB0184DFC,5173,7
SORHOEV12A81C20F71,2077,7
SORHOEV12A81C20F71,5375,6
SORHOEV12A81C20F71,7276,10
SOFPYXC12A58A7A4B9,1980,8
SOFPYXC12A58A7A4B9,2187,6
SOFPYXC12A58A7A4B9,3547,10
SOFQGCQ12AB0183609,1417,6
SOFQGCQ12AB0183609,1603,6
SOFQGCQ12AB0183609,1791,10
SOEBDBO12AC4688712,193,7
SOEBDBO12AC4688712,1074,7
SOEBDBO12AC4688712,3843,8
SONIQSB12AB0189829,3229,8
SONIQSB12AB0189829,6001,7
SONIQSB12AB0189829,7746,6
SOYNEII12AB0181DB6,287,7
SOYNEII12AB0181DB6,2273,6
SOYNEII12AB0181DB6,5470,6
SOKIGWD12A6701DE9D,1901,9
SOKIGWD12A6701DE9D,5099,6
SOKIGWD12A6701DE9D,6178,6
SOHXKAN12AC46872F1,1022,6
SOHXKAN12AC46872F1,1699,10
SOHXKAN12AC46872F1,2372,7
SOQZHMH12A8C13A393,1039,6
SOQZHMH12A8C13A393,3658,10
SOQZHMH12A8C13A393,6305,7
SOLEYPL12A6D4F83CE,1760,8
SOLEYPL12A6D4F83CE,2150,9
SOLEYPL12A6D4F83CE,3565,7
SOZFCNC12A6D4F76F3,2707,6
SOZFCNC12A6D4F76F3,2990,6
SOZFCNC12A6D4F76F3,4657,7
SOPUQFS12A8C13DE1E,1561,6
SOPUQFS12A8C13DE1E,3210,10
SOPUQFS12A8C13DE1E,5739,10
SOPNRDT12AB018A2D8,3159,7
SOPNRDT12AB018A2D8,5207,9
SOPNRDT12AB018A2D8,6555,8
SOGTLVU12A8AE47D5D,180,7
SOGTLVU12A8AE47D5D,3289,9
SOGTLVU12A8AE47D5D,5640,7
SOXNMDZ12A6D4FA20D,2932,7
SOXNMDZ12A6D4FA20D,4541,7
SOXNMDZ12A6D4FA20D,6975,6
SOGOJBW12AB018513B,271,9
SOGOJBW12AB018513B,422,7
SOGOJBW12AB018513B,774,8
SONNOCP12A8C145220,3124,10
SONNOCP12A8C145220,3170,8
SONNOCP12A8C145220,3517,7
SOUDHTP12AB0183403,699,7
SOUDHTP12AB0183403,774,10
SOUDHTP12AB0183403,2807,6
SOWDEPU12A8C137B14,966,9
SOWDEPU12A8C137B14,3035,6
SOWDEPU12A8C137B14,3593,10
SOJBYGW12A8C13A497,2520,9
SOJBYGW12A8C13A497,5718,8
SOJBYGW12A8C13A497,6521,9
SOQDTQP12A6D4F793F,2177,6
SOQDTQP12A6D4F793F,2194,8
SOQDTQP12A6D4F793F,4701,9
SOJHKYL12A6D4FA0AC,228,9
SOJHKYL12A6D4FA0AC,968,10
SOJHKYL12A6D4FA0AC,2743,9
SOJVWBA12AB018C326,3266,8
SOJVWBA12AB018C326,3365,7
SOJVWBA12AB018C326,4439,6
SONRSQW12A6D4F6D1C,2759,7
SONRSQW12A6D4F6D1C,4180,10
SONRSQW12A6D4F6D1C,5132,7
SONTBYD12A58A77A29,2686,10
SONTBYD12A58A77A29,3675,8
SONTBYD12A58A77A29,4532,6
SOMKMPB12A8C1447D0,1272,9
SOMKMPB12A8C1447D0,2973,7
SOMKMPB12A8C1447D0,4431,9
SOSGQPS12A8AE48538,2928,10
SOSGQPS12A8AE48538,5605,7
SOSGQPS12A8AE48538,6815,9
SOKENJQ12AB017EC8C,1551,7
SOKENJQ12AB017EC8C,4651,7
SOKENJQ12AB017EC8C,5356,8
SOBNTXB12A8C1428BA,1038,10
SOBNTXB12A8C1428BA,1224,8
SOBNTXB12A8C1428BA,2596,9
SOIKIJC12AC3DFB3D2,3191,6
SOIKIJC12AC3DFB3D2,5031,10
SOIKIJC12AC3DFB3D2,5986,10
SOFJNQR12A6D4FAE92,630,10
SOFJNQR12A6D4FAE92,1777,6
SOFJNQR12A6D4FAE92,3415,10
SOGDFIT12AB018528B,2129,7
SOGDFIT12AB018528B,4912,10
SOGDFIT12AB018528B,7798,9
SOOIZTH12AB018C12E,3211,8
SOOIZTH12AB018C12E,5498,10
SOOIZTH12AB018C12E,7382,9
SOQPJUL12AB0189379,2616,8
SOQPJUL12AB0189379,3482,10
SOQPJUL12AB0189379,5954,10
SOMBQEO12A8C135018,2692,7
SOMBQEO12A8C135018,4174,6
SOMBQEO12A8C135018,7398,6
SOCQWKZ12A8C13CE4C,507,7
SOCQWKZ12A8C13CE4C,3174,9
SOCQWKZ12A8C13CE4C,6073,7
SONETAN12A58A7ACEB,636,10
SONETAN12A58A7ACEB,2362,8
SONETAN12A58A7ACEB,3794,6
SOKEXTF12A8C13AE7E,1042,7
SOKEXTF12A8C13AE7E,1875,8
SOKEXTF12A8C13AE7E,3091,7
SOUJISW12CF4E09416,2970,9
SOUJISW12CF4E09416,6049,8
SOUJISW12CF4E09416,8694,7
SOJKDKH12A58A761A2,1833,8
SOJKDKH12A58A761A2,4931,7
SOJKDKH12A58A761A2,6904,8
SOTWWBZ12AB01845E0,156,10
SOTWWBZ12AB01845E0,2300,8
SOTWWBZ12AB01845E0,4751,7
SOKZTUH12AB018B938,1930,6
SOKZTUH12AB018B938,4497,9
SOKZTUH12AB018B938,7756,6
SOQDTZG12A8C1442E3,2057,7
SOQDTZG12A8C1442E3,2603,6
SOQDTZG12A8C1442E3,4970,8
SOIFOLA12AB017CDA1,1203,8
SOIFOLA12AB017CDA1,3065,6
SOIFOLA12AB017CDA1,6391,10
SOKHVZO12AB0184C4D,2455,10
SOKHVZO12AB0184C4D,4176,8
SOKHVZO12AB0184C4D,5769,6
SOMISOP12AC468D9D5,3025,9
SOMISOP12AC468D9D5,4241,10
SOMISOP12AC468D9D5,6679,6
SOOZKNQ12A6D4F6FD4,2346,7
SOOZKNQ12A6D4F6FD4,4130,9
SOOZKNQ12A6D4F6FD4,7238,7
SOGOQGE12AB0182907,990,8
SOGOQGE12AB0182907,2909,9
SOGOQGE12AB0182907,3350,8
SOWTIDJ12AB018808C,2048,9
SOWTIDJ12AB018808C,4768,7
SOWTIDJ12AB018808C,6660,8
SONIHLC12AB0187B0C,1975,6
SONIHLC12AB0187B0C,3597,6
SONIHLC12AB0187B0C,5748,10
SOLBHCO12AB018769A,3148,9
